DateKey;Date;DayOfWeek;DayOfMonth;Month;MonthNumber;Quarter;Year
20110101;2011-01-01;Saturday;1;January;1;Q1;2011
20110102;2011-01-02;Sunday;2;January;1;Q1;2011
20110103;2011-01-03;Monday;3;January;1;Q1;2011
20110104;2011-01-04;Tuesday;4;January;1;Q1;2011
20110105;2011-01-05;Wednesday;5;January;1;Q1;2011
20110106;2011-01-06;Thursday;6;January;1;Q1;2011
20110107;2011-01-07;Friday;7;January;1;Q1;2011
20110108;2011-01-08;Saturday;8;January;1;Q1;2011
20110109;2011-01-09;Sunday;9;January;1;Q1;2011
20110110;2011-01-10;Monday;10;January;1;Q1;2011
20110111;2011-01-11;Tuesday;11;January;1;Q1;2011
20110112;2011-01-12;Wednesday;12;January;1;Q1;2011
20110113;2011-01-13;Thursday;13;January;1;Q1;2011
20110114;2011-01-14;Friday;14;January;1;Q1;2011
20110115;2011-01-15;Saturday;15;January;1;Q1;2011
20110116;2011-01-16;Sunday;16;January;1;Q1;2011
20110117;2011-01-17;Monday;17;January;1;Q1;2011
20110118;2011-01-18;Tuesday;18;January;1;Q1;2011
20110119;2011-01-19;Wednesday;19;January;1;Q1;2011
20110120;2011-01-20;Thursday;20;January;1;Q1;2011
20110121;2011-01-21;Friday;21;January;1;Q1;2011
20110122;2011-01-22;Saturday;22;January;1;Q1;2011
20110123;2011-01-23;Sunday;23;January;1;Q1;2011
20110124;2011-01-24;Monday;24;January;1;Q1;2011
20110125;2011-01-25;Tuesday;25;January;1;Q1;2011
20110126;2011-01-26;Wednesday;26;January;1;Q1;2011
20110127;2011-01-27;Thursday;27;January;1;Q1;2011
20110128;2011-01-28;Friday;28;January;1;Q1;2011
20110129;2011-01-29;Saturday;29;January;1;Q1;2011
20110130;2011-01-30;Sunday;30;January;1;Q1;2011
20110131;2011-01-31;Monday;31;January;1;Q1;2011
20110201;2011-02-01;Tuesday;1;February;2;Q1;2011
20110202;2011-02-02;Wednesday;2;February;2;Q1;2011
20110203;2011-02-03;Thursday;3;February;2;Q1;2011
20110204;2011-02-04;Friday;4;February;2;Q1;2011
20110205;2011-02-05;Saturday;5;February;2;Q1;2011
20110206;2011-02-06;Sunday;6;February;2;Q1;2011
20110207;2011-02-07;Monday;7;February;2;Q1;2011
20110208;2011-02-08;Tuesday;8;February;2;Q1;2011
20110209;2011-02-09;Wednesday;9;February;2;Q1;2011
20110210;2011-02-10;Thursday;10;February;2;Q1;2011
20110211;2011-02-11;Friday;11;February;2;Q1;2011
20110212;2011-02-12;Saturday;12;February;2;Q1;2011
20110213;2011-02-13;Sunday;13;February;2;Q1;2011
20110214;2011-02-14;Monday;14;February;2;Q1;2011
20110215;2011-02-15;Tuesday;15;February;2;Q1;2011
20110216;2011-02-16;Wednesday;16;February;2;Q1;2011
20110217;2011-02-17;Thursday;17;February;2;Q1;2011
20110218;2011-02-18;Friday;18;February;2;Q1;2011
20110219;2011-02-19;Saturday;19;February;2;Q1;2011
20110220;2011-02-20;Sunday;20;February;2;Q1;2011
20110221;2011-02-21;Monday;21;February;2;Q1;2011
20110222;2011-02-22;Tuesday;22;February;2;Q1;2011
20110223;2011-02-23;Wednesday;23;February;2;Q1;2011
20110224;2011-02-24;Thursday;24;February;2;Q1;2011
20110225;2011-02-25;Friday;25;February;2;Q1;2011
20110226;2011-02-26;Saturday;26;February;2;Q1;2011
20110227;2011-02-27;Sunday;27;February;2;Q1;2011
20110228;2011-02-28;Monday;28;February;2;Q1;2011
20110301;2011-03-01;Tuesday;1;March;3;Q1;2011
20110302;2011-03-02;Wednesday;2;March;3;Q1;2011
20110303;2011-03-03;Thursday;3;March;3;Q1;2011
